test_index,true,predicted,confidence,true_class_prob,true_rank
1140,rayfish,seaAnemone,0.6191,0.0263,5
1242,seaAnemone,fish,0.6113,0.3827,2
1547,turtle,coral,0.6109,0.0,10
417,fish,coral,0.6044,0.3834,2
936,fish,eel,0.6034,0.3963,2
22,coral,fish,0.6006,0.044,3
1254,seaAnemone,seaSlug,0.5899,0.3899,2
106,coral,fish,0.577,0.4036,2
1025,flatworm,fish,0.574,0.1647,3
1340,seaAnemone,coral,0.5691,0.4168,2
1311,seaAnemone,seaUrchin,0.5688,0.4089,2
346,coral,starfish,0.5593,0.4396,2
983,fishInGroups,fish,0.556,0.107,3
1468,shark,marine_dolphin,0.5491,0.0828,3
334,coral,starfish,0.5459,0.4248,2
1558,turtle,rayfish,0.5423,0.0,10
872,fish,coral,0.5356,0.0509,4
276,coral,seaAnemone,0.5353,0.4602,2
720,fish,seaAnemone,0.5352,0.4648,2
574,fish,turtle,0.5345,0.2629,2
481,fish,seaAnemone,0.5343,0.4657,2
449,fish,shark,0.5204,0.4783,2
437,fish,fishInGroups,0.5152,0.348,2
337,coral,starfish,0.5129,0.0195,4
909,fish,eel,0.5123,0.3482,2
887,fish,seaAnemone,0.5072,0.0433,4
350,crab,turtle,0.5067,0.4826,2
774,fish,coral,0.5064,0.0722,3
90,coral,seaAnemone,0.5062,0.1937,3
876,fish,coral,0.5055,0.3699,2
1471,shark,fish,0.5045,0.0016,6
1065,marine_dolphin,shark,0.4985,0.3601,2
1404,seaCucumber,starfish,0.4703,0.0014,4
318,coral,starfish,0.4619,0.4273,2
980,fishInGroups,fish,0.4602,0.2236,3
421,fish,rayfish,0.4591,0.0865,3
119,coral,seaAnemone,0.4543,0.4164,2
5,coral,seaAnemone,0.4488,0.261,2
531,fish,coral,0.4455,0.1395,3
61,coral,fish,0.4251,0.1281,3
970,fishInGroups,starfish,0.4213,0.2359,3
592,fish,seaAnemone,0.3907,0.2457,3
330,coral,fish,0.3891,0.0667,4
583,fish,fishInGroups,0.3858,0.3564,2
1239,seaAnemone,coral,0.3681,0.0986,4
1171,rayfish,starfish,0.3414,0.2022,3
167,coral,starfish,0.3388,0.23,2
1447,seaUrchin,eel,0.3341,0.1632,3
