test_index,true,predicted,confidence,true_class_prob,true_rank
963,fishInGroups,crab,0.4577,0.2713,2
132,coral,rayfish,0.4545,0.2776,2
1124,rayfish,turtle,0.4541,0.4154,2
1340,seaAnemone,coral,0.4477,0.2407,2
83,coral,fish,0.4473,0.06,3
325,coral,fish,0.4423,0.0506,6
973,fishInGroups,coral,0.439,0.4141,2
531,fish,coral,0.4357,0.3891,2
1210,seaAnemone,coral,0.434,0.0995,3
587,fish,coral,0.4299,0.1272,3
1452,seaUrchin,seaAnemone,0.4296,0.1447,2
424,fish,coral,0.4264,0.081,4
1103,rayfish,fish,0.4207,0.0469,7
285,coral,seaUrchin,0.42,0.2718,2
994,fishInGroups,coral,0.4199,0.0483,3
1443,seaUrchin,fish,0.4141,0.0975,3
399,eel,fishInGroups,0.4141,0.0056,17
1466,shark,rayfish,0.414,0.0189,7
864,fish,seaAnemone,0.4124,0.1453,3
1276,seaAnemone,seaUrchin,0.4116,0.0475,6
1404,seaCucumber,seaSlug,0.4114,0.0979,2
906,fish,coral,0.409,0.2378,2
1063,marine_dolphin,fish,0.4082,0.0861,4
1153,rayfish,turtle,0.4053,0.0805,2
520,fish,fishInGroups,0.4035,0.22,2
293,coral,seaUrchin,0.4015,0.1341,3
1461,shark,rayfish,0.4012,0.3716,2
969,fishInGroups,fish,0.3953,0.0862,3
872,fish,coral,0.3919,0.2793,2
1025,flatworm,eel,0.3872,0.0884,4
315,coral,seaCucumber,0.3855,0.1629,2
2,coral,seaAnemone,0.385,0.2572,2
6,coral,seaSlug,0.384,0.1992,2
1173,rayfish,seaSlug,0.3837,0.2097,2
759,fish,seaAnemone,0.3824,0.3225,2
1359,seaAnemone,coral,0.382,0.3456,2
96,coral,fishInGroups,0.3818,0.2775,2
289,coral,seaUrchin,0.3816,0.1977,3
384,eel,seaSlug,0.3813,0.0343,7
1048,jellyfish,seaAnemone,0.381,0.1483,2
76,coral,fish,0.3804,0.0823,4
588,fish,coral,0.3766,0.3747,2
544,fish,coral,0.3755,0.2696,2
32,coral,rayfish,0.3755,0.2176,2
557,fish,diver,0.3742,0.1943,3
111,coral,rayfish,0.3665,0.1387,2
20,coral,fishInGroups,0.3661,0.1207,3
413,fish,rayfish,0.3655,0.2653,2
1027,flatworm,seaSlug,0.3645,0.1928,3
1468,shark,fish,0.3598,0.1016,3
600,fish,coral,0.3586,0.1006,3
1401,seaCucumber,eel,0.3573,0.1038,3
1464,shark,marine_dolphin,0.3536,0.2247,2
1555,turtle,shark,0.3533,0.0597,8
392,eel,fish,0.3504,0.0802,3
1564,turtle,shark,0.3499,0.2588,2
1032,flatworm,seaSlug,0.3497,0.1239,2
242,coral,turtle,0.3469,0.2222,2
267,coral,eel,0.3467,0.3313,2
113,coral,fishInGroups,0.3464,0.3096,2
543,fish,turtle,0.3428,0.3385,2
1402,seaCucumber,starfish,0.3344,0.0955,2
1073,octopus,eel,0.3341,0.0535,5
283,coral,fishInGroups,0.3336,0.0576,6
304,coral,eel,0.3325,0.1328,2
493,fish,fishInGroups,0.3303,0.0536,5
1411,seaSlug,crab,0.3273,0.0977,3
1066,marine_dolphin,shark,0.3251,0.021,9
329,coral,seaUrchin,0.3234,0.1408,3
88,coral,rayfish,0.32,0.1727,2
521,fish,jellyfish,0.3182,0.2897,2
909,fish,eel,0.3165,0.2537,3
282,coral,starfish,0.3159,0.2761,2
499,fish,seaAnemone,0.3115,0.288,2
439,fish,shark,0.3113,0.1161,3
1494,squid,fish,0.3041,0.0665,5
901,fish,jellyfish,0.3037,0.2243,2
416,fish,fishInGroups,0.3031,0.1535,2
594,fish,coral,0.3029,0.2858,2
824,fish,crab,0.3026,0.2508,2
1495,squid,jellyfish,0.3025,0.2698,2
436,fish,starfish,0.3018,0.109,3
515,fish,rayfish,0.3017,0.0594,4
468,fish,fishInGroups,0.3009,0.2059,2
983,fishInGroups,fish,0.2977,0.1994,3
1239,seaAnemone,fishInGroups,0.2943,0.0929,3
887,fish,coral,0.2923,0.1887,2
1055,jellyfish,coral,0.2923,0.2406,3
330,coral,fish,0.2916,0.1965,3
1426,seaSlug,rayfish,0.2908,0.1372,2
341,coral,starfish,0.2908,0.1763,2
804,fish,seaAnemone,0.2902,0.2487,3
1254,seaAnemone,seaSlug,0.2834,0.0935,3
940,fish,crab,0.2701,0.188,2
1471,shark,fishInGroups,0.2686,0.0548,5
876,fish,seaAnemone,0.2613,0.1433,3
1022,fishInGroups,shark,0.2587,0.173,3
1072,octopus,coral,0.2586,0.2574,2
1497,starfish,coral,0.2576,0.1417,3
1023,flatworm,rayfish,0.2564,0.1244,3
938,fish,eel,0.2563,0.2041,2
560,fish,eel,0.2528,0.2114,2
393,eel,rayfish,0.2516,0.0348,6
941,fish,seaSlug,0.2484,0.0152,15
352,crab,eel,0.2462,0.187,2
350,crab,turtle,0.245,0.1685,2
952,fishInGroups,starfish,0.2448,0.2424,2
405,eel,fish,0.244,0.2084,2
434,fish,seaSlug,0.2399,0.1624,3
878,fish,seaAnemone,0.2369,0.103,3
1604,turtle,crab,0.2349,0.2175,2
245,coral,seaAnemone,0.2313,0.1685,2
1062,marine_dolphin,rayfish,0.2284,0.1099,4
893,fish,seaAnemone,0.2246,0.1955,2
751,fish,rayfish,0.221,0.0827,4
1140,rayfish,coral,0.2195,0.1097,2
1530,starfish,fishInGroups,0.2127,0.073,4
1417,seaSlug,seaAnemone,0.2089,0.1827,2
984,fishInGroups,fish,0.1959,0.0782,6
134,coral,crab,0.183,0.0723,4
1,coral,jellyfish,0.1708,0.0827,5
1532,starfish,seaSlug,0.1691,0.081,6
592,fish,seaAnemone,0.1666,0.0972,5
98,coral,seaSlug,0.1656,0.1567,3
647,fish,coral,0.1644,0.0932,5
421,fish,rayfish,0.161,0.1091,4
540,fish,turtle,0.1601,0.1105,2
924,fish,crab,0.1549,0.1133,4
1446,seaUrchin,fish,0.148,0.1412,2
351,crab,seaAnemone,0.1446,0.1069,3
