test_index,true,predicted,confidence,margin,true_class_prob,true_rank
8,coral,seaAnemone,0.5885,0.1818,0.4067,2
1487,squid,fish,0.5859,0.1754,0.4105,2
43,coral,fish,0.5842,0.2714,0.0722,3
335,coral,seaAnemone,0.5618,0.1521,0.4097,2
200,coral,fishInGroups,0.5618,0.1899,0.3719,2
1495,squid,octopus,0.5572,0.2664,0.2908,2
120,coral,seaAnemone,0.551,0.1037,0.4473,2
325,coral,fish,0.5509,0.1711,0.0561,3
330,coral,fish,0.5417,0.3004,0.1845,3
1438,seaUrchin,seaAnemone,0.5369,0.183,0.354,2
604,fish,fishInGroups,0.5349,0.0697,0.4651,2
948,fish,fishInGroups,0.5314,0.0743,0.4571,2
1088,rayfish,marine_dolphin,0.5311,0.0719,0.4592,2
858,fish,fishInGroups,0.527,0.0681,0.459,2
1205,seaAnemone,fish,0.524,0.0567,0.4673,2
470,fish,marine_dolphin,0.5229,0.1121,0.4108,2
369,diver,marine_dolphin,0.5138,0.183,0.1149,3
1066,marine_dolphin,shark,0.5133,0.1924,0.3209,2
823,fish,coral,0.5133,0.0782,0.4351,2
904,fish,seaAnemone,0.5079,0.1247,0.3832,2
288,coral,seaSlug,0.5073,0.2727,0.1596,3
23,coral,seaAnemone,0.4998,0.1083,0.3915,2
90,coral,seaAnemone,0.4942,0.1563,0.3379,2
476,fish,marine_dolphin,0.4896,0.0218,0.4678,2
395,eel,coral,0.4891,0.0062,0.4829,2
597,fish,fishInGroups,0.4876,0.008,0.4797,2
1168,rayfish,coral,0.4867,0.1969,0.2898,2
242,coral,turtle,0.4762,0.0943,0.3819,2
112,coral,fish,0.4748,0.1257,0.3491,2
1140,rayfish,fish,0.4707,0.2653,0.0785,3
313,coral,seaSlug,0.47,0.1829,0.2871,2
1130,rayfish,fish,0.4556,0.2235,0.2183,3
1003,fishInGroups,coral,0.4539,0.0077,0.4462,2
1203,seaAnemone,coral,0.4529,0.0099,0.443,2
50,coral,seaAnemone,0.4516,0.0254,0.4262,2
106,coral,seaAnemone,0.4467,0.0734,0.3733,2
430,fish,coral,0.4417,0.1119,0.3297,2
1210,seaAnemone,fish,0.4387,0.0246,0.0454,4
282,coral,starfish,0.4317,0.0846,0.3471,2
34,coral,fishInGroups,0.4172,0.0034,0.4138,2
1462,shark,eel,0.4098,0.0096,0.1736,3
94,coral,fishInGroups,0.3934,0.0245,0.3689,2
1522,starfish,seaSlug,0.3759,0.1284,0.2476,2
869,fish,seaAnemone,0.3625,0.1044,0.1235,4
306,coral,fishInGroups,0.3521,0.0116,0.3405,2
315,coral,fish,0.3313,0.0589,0.2724,2
878,fish,seaAnemone,0.3267,0.0619,0.2648,2
351,crab,coral,0.3221,0.042,0.24,3
515,fish,seaSlug,0.317,0.0082,0.1179,3
1403,seaCucumber,flatworm,0.2901,0.0351,0.0139,12
